P1,P2,P3,P4,P5,P6,P7,P8,absorbance.rep1,absorbance.rep2,absorbance.rep3
1,0,1,1,1,1,1,1,0.8468,1.1241,0.9894
1,1,0,0,0,0,0,0,0.708,0.7103,0.5285
1,1,0,0,0,0,0,1,1.4221,1.1146,1.2356
1,1,0,0,0,0,1,0,1.0971,0.8977,0.9024
1,1,0,0,0,0,1,1,0.9343,1.1398,1.1729
1,1,0,0,0,1,0,0,1.0621,0.8835,0.9689
1,1,0,0,0,1,0,1,1.3128,1.0725,1.1809
1,1,0,0,0,1,1,0,1.1057,0.9317,0.7206
1,1,0,0,0,1,1,1,1.009,1.219,0.9317
1,1,0,0,1,0,0,0,1.1084,0.7577,0.6142
1,1,0,0,1,0,0,1,1.3393,1.0583,1.166
1,1,0,0,1,0,1,0,0.962,0.9457,1.127
1,1,0,0,1,0,1,1,0.9982,1.1033,1.155
1,1,0,0,1,1,0,0,1.0458,0.6996,0.6464
1,1,0,0,1,1,0,1,1.384,1.1745,1.2275
1,1,0,0,1,1,1,0,1.146,0.6941,0.8146
1,1,0,0,1,1,1,1,1.2175,0.9471,1.0719
1,1,0,1,0,0,0,0,1.2597,1.213,0.6903
1,1,0,1,0,0,0,1,1.1955,1.0523,1.1598
1,1,0,1,0,0,1,0,1.1771,1.0398,0.8108
1,1,0,1,0,0,1,1,0.8183,1.1598,1.1602
1,1,0,1,0,1,0,0,1.1283,1.0796,0.7094
1,1,0,1,0,1,0,1,0.9951,1.3469,1.1945
1,1,0,1,0,1,1,0,1.036,1.0887,0.8218
1,1,0,1,0,1,1,1,0.882,0.9226,1.1042
1,1,0,1,1,0,0,0,1.091,0.9594,0.7351
1,1,0,1,1,0,0,1,1.2417,1.0393,1.0943
1,1,0,1,1,0,1,0,1.0748,1.0439,0.8728
1,1,0,1,1,0,1,1,1.1036,1.2612,1.1613
1,1,0,1,1,1,0,0,0.9649,1.1583,0.7159
1,1,0,1,1,1,0,1,0.9673,1.2236,1.1297
1,1,0,1,1,1,1,0,1.2204,1.1493,0.7659
1,1,0,1,1,1,1,1,0.8573,1.0085,1.1576
1,1,1,0,0,0,0,0,0.8992,0.6557,0.9066
1,1,1,0,0,0,0,1,1.3787,1.1752,1.2034
1,1,1,0,0,0,1,0,1.0709,0.8951,1.2213
1,1,1,0,0,0,1,1,0.8206,1.3154,1.114
1,1,1,0,0,1,0,0,0.9044,0.5818,0.694
1,1,1,0,0,1,0,1,1.0323,1.3098,1.214
1,1,1,0,0,1,1,0,1.0476,0.8447,0.7131
1,1,1,0,0,1,1,1,0.9442,1.1677,1.2138
1,1,1,0,1,0,0,0,0.8324,0.6901,1.0482
1,1,1,0,1,0,0,1,1.3769,1.189,1.2263
1,1,1,0,1,0,1,0,1.1283,0.617,0.8874
1,1,1,0,1,0,1,1,0.8994,1.2993,1.0814
1,1,1,0,1,1,0,0,0.6422,0.5876,1.098
1,1,1,0,1,1,0,1,0.9219,1.1752,1.1293
1,1,1,0,1,1,1,0,1.1027,1.1081,0.9054
1,1,1,0,1,1,1,1,0.7989,1.2915,1.0617
1,1,1,1,0,0,0,0,0.9938,1.0011,0.441
1,1,1,1,0,0,0,1,0.9994,1.2199,1.0646
1,1,1,1,0,0,1,0,1.0463,1.009,0.8365
1,1,1,1,0,0,1,1,0.7005,1.067,1.0517
1,1,1,1,0,1,0,0,1.0579,0.9921,0.5829
1,1,1,1,0,1,0,1,1.0598,1.2902,1.1717
1,1,1,1,0,1,1,0,1.0572,1.2419,0.6228
1,1,1,1,0,1,1,1,1.1189,0.9711,1.0705
1,1,1,1,1,0,0,0,1.0182,0.8832,0.8367
1,1,1,1,1,0,0,1,0.9255,1.2102,1.0711
1,1,1,1,1,0,1,0,1.0373,1.0233,0.9381
1,1,1,1,1,0,1,1,0.6621,1.1974,1.0411
1,1,1,1,1,1,0,0,1.0521,1.1517,0.5511
1,1,1,1,1,1,0,1,0.7828,1.2588,1.0016
1,1,1,1,1,1,1,0,0.9796,1.0612,0.7443
1,1,1,1,1,1,1,1,1.2682,0.9534,1.0565
